Info 0    [16:12:58.172] Starting TS Server
Info 1    [16:12:58.173] Version: 4.7.4
Info 2    [16:12:58.174] Arguments: /opt/homebrew/Cellar/node/20.2.0/bin/node /Users/manas/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/manas/development/ligolang/ligo-ci-test/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/l6/14xd13jd2b519bw0dyckr4hw0000gn/T/8cffeff0af6e09184f567c290f90f6da/tscancellation*
Info 3    [16:12:58.174] Platform: darwin NodeVersion: 20 CaseSensitive: false
Info 4    [16:12:58.174] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:12:58.179] Format host information updated
Info 6    [16:12:58.186] Search path: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/@mui/material/ToggleButton
Info 7    [16:12:58.188] For info: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/@mui/material/ToggleButton/index.d.ts :: No config files found.
Info 8    [16:12:58.190] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [16:12:59.568] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1378.6789590120316ms
Info 10   [16:12:59.568] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [16:12:59.569] 	Files (1009)

Info 12   [16:12:59.569] -----------------------------------------------
Info 13   [16:13:01.884] Search path: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/@mui/material/ToggleButton
Info 14   [16:13:01.884] For info: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/@mui/material/ToggleButton/ToggleButton.d.ts :: No config files found.
Info 15   [16:13:01.884] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [16:13:01.940] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 55.61929202079773ms
Info 17   [16:13:01.940] Project '/dev/null/inferredProject1*' (Inferred)
Info 18   [16:13:01.940] 	Files (0)

Info 19   [16:13:01.940] -----------------------------------------------
Info 20   [16:13:01.940] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [16:13:02.115] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true structureIsReused:: Not Elapsed: 174.23895800113678ms
Info 22   [16:13:02.115] Project '/dev/null/inferredProject1*' (Inferred)
Info 23   [16:13:02.115] 	Files (1009)

Info 24   [16:13:02.115] -----------------------------------------------
Info 25   [16:13:23.628] DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/67c289e341b09a675a62df44ef50d8a6.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 26   [16:13:23.629] Elapsed:: 0.5220839977264404ms DirectoryWatcher:: Triggered with /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/67c289e341b09a675a62df44ef50d8a6.json :: WatchInfo: /users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 27   [16:13:23.629] DirectoryWatcher:: Triggered with /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules/.cache/babel-loader/67c289e341b09a675a62df44ef50d8a6.json :: WatchInfo: /Users/manas/development/ligolang/ligo-ci-test/tools/webide-new/ligo-webide-frontend/ligo-ide/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
